,tract
"(1907946345, <shapely.geometry.point.Point object at 0x15d3c7e80>)",7513.0
"(1774252928, <shapely.geometry.point.Point object at 0x15d3c7cf8>)",6504.0
"(134280071, <shapely.geometry.point.Point object at 0x15d3c79b0>)",7466.0
"(1774252937, <shapely.geometry.point.Point object at 0x15d3c7828>)",6504.0
"(1774252939, <shapely.geometry.point.Point object at 0x15d3c7630>)",6504.0
"(134280082, <shapely.geometry.point.Point object at 0x15d3c74a8>)",7429.0
"(134017941, <shapely.geometry.point.Point object at 0x15d3c72b0>)",6703.0
"(1774252949, <shapely.geometry.point.Point object at 0x15d3c7128>)",6504.0
"(1774252953, <shapely.geometry.point.Point object at 0x15d3c7fd0>)",6504.0
"(134280110, <shapely.geometry.point.Point object at 0x15d3c7f60>)",7429.0
"(1774252976, <shapely.geometry.point.Point object at 0x15d3c7f98>)",6504.0
"(1774252971, <shapely.geometry.point.Point object at 0x15d3c7ef0>)",6504.0
"(1774252984, <shapely.geometry.point.Point object at 0x15d3c7f28>)",6504.0
"(134280126, <shapely.geometry.point.Point object at 0x15d3c7e48>)",7429.0
"(134280133, <shapely.geometry.point.Point object at 0x15d3c7eb8>)",7429.0
"(134018004, <shapely.geometry.point.Point object at 0x15d3c7dd8>)",6703.0
"(134018010, <shapely.geometry.point.Point object at 0x15d3c7e10>)",6703.0
"(1774253019, <shapely.geometry.point.Point object at 0x15d3c7da0>)",6504.0
"(134280181, <shapely.geometry.point.Point object at 0x15d3c7cc0>)",7464.0
"(134018044, <shapely.geometry.point.Point object at 0x15d3c7d30>)",6703.0
"(134018060, <shapely.geometry.point.Point object at 0x15d3c7c18>)",6703.0
"(134018078, <shapely.geometry.point.Point object at 0x15d3c7c88>)",6904.0
"(134280234, <shapely.geometry.point.Point object at 0x15d3c7b70>)",7435.0
"(134018098, <shapely.geometry.point.Point object at 0x15d3c7be0>)",6904.0
"(134018109, <shapely.geometry.point.Point object at 0x15d3c7b00>)",6904.0
"(134018123, <shapely.geometry.point.Point object at 0x15d3c7b38>)",6904.0
"(134018175, <shapely.geometry.point.Point object at 0x15d3c7a90>)",6904.0
"(134018201, <shapely.geometry.point.Point object at 0x15d3c7ac8>)",6904.0
"(134018209, <shapely.geometry.point.Point object at 0x15d3c7a20>)",6904.0
"(134018225, <shapely.geometry.point.Point object at 0x15d3c7a58>)",6704.0
"(134018278, <shapely.geometry.point.Point object at 0x15d3c7978>)",7444.0
"(1865217413, <shapely.geometry.point.Point object at 0x15d3c79e8>)",6905.0
"(1865217420, <shapely.geometry.point.Point object at 0x15d3c7908>)",6905.0
"(1865217421, <shapely.geometry.point.Point object at 0x15d3c7940>)",6905.0
"(134018453, <shapely.geometry.point.Point object at 0x15d3c7d68>)",7464.0
"(1865217429, <shapely.geometry.point.Point object at 0x15d3c78d0>)",6905.0
"(1865217432, <shapely.geometry.point.Point object at 0x15d3c77f0>)",6905.0
"(1865217434, <shapely.geometry.point.Point object at 0x15d3c7860>)",6905.0
"(134018471, <shapely.geometry.point.Point object at 0x15d3c7780>)",7464.0
"(1865217471, <shapely.geometry.point.Point object at 0x15d3c77b8>)",6905.0
"(1865217475, <shapely.geometry.point.Point object at 0x15d3c7710>)",6905.0
"(1865217490, <shapely.geometry.point.Point object at 0x15d3c7748>)",6905.0
"(1865217491, <shapely.geometry.point.Point object at 0x15d3c76a0>)",6905.0
"(1865217492, <shapely.geometry.point.Point object at 0x15d3c76d8>)",6905.0
"(1865217497, <shapely.geometry.point.Point object at 0x15d3c75f8>)",6905.0
"(1865217500, <shapely.geometry.point.Point object at 0x15d3c7668>)",6905.0
"(134280674, <shapely.geometry.point.Point object at 0x15d3c7588>)",7467.0
"(134280679, <shapely.geometry.point.Point object at 0x15d3c75c0>)",7467.0
"(1865217511, <shapely.geometry.point.Point object at 0x15d3c7898>)",6905.0
"(1865217514, <shapely.geometry.point.Point object at 0x15d3c7550>)",6905.0
"(1865217519, <shapely.geometry.point.Point object at 0x15d3c7470>)",6905.0
"(1865217513, <shapely.geometry.point.Point object at 0x15d3c74e0>)",6905.0
"(134018556, <shapely.geometry.point.Point object at 0x15d3c7400>)",7443.0
"(134018561, <shapely.geometry.point.Point object at 0x15d3c7438>)",7443.0
"(134018568, <shapely.geometry.point.Point object at 0x15d3c7390>)",7443.0
"(134018571, <shapely.geometry.point.Point object at 0x15d3c73c8>)",7443.0
"(134018592, <shapely.geometry.point.Point object at 0x15d3c7320>)",6506.0
"(134280749, <shapely.geometry.point.Point object at 0x15d3c7358>)",7424.0
"(134018607, <shapely.geometry.point.Point object at 0x15d3c7278>)",6506.0
"(134018625, <shapely.geometry.point.Point object at 0x15d3c72e8>)",6506.0
"(134018674, <shapely.geometry.point.Point object at 0x15d3c7208>)",6506.0
"(134018694, <shapely.geometry.point.Point object at 0x15d3c7240>)",6506.0
"(134280845, <shapely.geometry.point.Point object at 0x15d3c7518>)",7452.0
"(134280866, <shapely.geometry.point.Point object at 0x15d3c71d0>)",7454.0
"(134280873, <shapely.geometry.point.Point object at 0x15d3c70f0>)",7453.0
"(134018926, <shapely.geometry.point.Point object at 0x15d3c7160>)",6904.0
"(134018940, <shapely.geometry.point.Point object at 0x15d3c7080>)",6904.0
"(134281127, <shapely.geometry.point.Point object at 0x15d3c70b8>)",6704.0
"(134281140, <shapely.geometry.point.Point object at 0x15d3c7048>)",7409.0
"(3957913553, <shapely.geometry.point.Point object at 0x15d3c7198>)",7436.0
"(134019040, <shapely.geometry.point.Point object at 0x15d3bdef0>)",6904.0
"(134019044, <shapely.geometry.point.Point object at 0x15d3bdcc0>)",6904.0
"(134019071, <shapely.geometry.point.Point object at 0x15d3bdb38>)",5600.0
"(134019080, <shapely.geometry.point.Point object at 0x15d3bd9b0>)",5600.0
"(134019083, <shapely.geometry.point.Point object at 0x15d3bd828>)",5600.0
"(134019086, <shapely.geometry.point.Point object at 0x15d3bd6a0>)",5600.0
"(134019106, <shapely.geometry.point.Point object at 0x15d3bd518>)",4700.0
"(134019108, <shapely.geometry.point.Point object at 0x15d3bd390>)",4700.0
"(134019117, <shapely.geometry.point.Point object at 0x15d3bd208>)",6400.0
"(134281257, <shapely.geometry.point.Point object at 0x15d3bd080>)",7409.0
"(134019131, <shapely.geometry.point.Point object at 0x15d3bdfd0>)",6400.0
"(134019137, <shapely.geometry.point.Point object at 0x15d3bdf60>)",6400.0
"(134019140, <shapely.geometry.point.Point object at 0x15d3bdf98>)",6400.0
"(134019142, <shapely.geometry.point.Point object at 0x15d3bdeb8>)",6400.0
"(134281287, <shapely.geometry.point.Point object at 0x15d3bdf28>)",7434.0
"(134019150, <shapely.geometry.point.Point object at 0x15d3bde10>)",6400.0
"(134019152, <shapely.geometry.point.Point object at 0x15d3bde80>)",6400.0
"(134281308, <shapely.geometry.point.Point object at 0x15d3bdda0>)",6202.0
"(134019167, <shapely.geometry.point.Point object at 0x15d3bddd8>)",5600.0
"(134019172, <shapely.geometry.point.Point object at 0x15d3bdd68>)",5600.0
"(134019174, <shapely.geometry.point.Point object at 0x15d3bdc88>)",5600.0
"(134019184, <shapely.geometry.point.Point object at 0x15d3bdcf8>)",5600.0
"(134019188, <shapely.geometry.point.Point object at 0x15d3bdc18>)",5600.0
"(134019194, <shapely.geometry.point.Point object at 0x15d3bdc50>)",5600.0
"(134019215, <shapely.geometry.point.Point object at 0x15d3bdba8>)",5600.0
"(134019218, <shapely.geometry.point.Point object at 0x15d3bdbe0>)",5600.0
"(134019221, <shapely.geometry.point.Point object at 0x15d3bdb00>)",5600.0
"(134019223, <shapely.geometry.point.Point object at 0x15d3bdb70>)",0.0
"(134019226, <shapely.geometry.point.Point object at 0x15d3bda90>)",5600.0
"(134019229, <shapely.geometry.point.Point object at 0x15d3bdac8>)",5600.0
"(134019233, <shapely.geometry.point.Point object at 0x15d3bdd30>)",5600.0
"(134019252, <shapely.geometry.point.Point object at 0x15d3bda58>)",6505.0
"(134281426, <shapely.geometry.point.Point object at 0x15d3bd978>)",6301.0
"(134019318, <shapely.geometry.point.Point object at 0x15d3bd9e8>)",6506.0
"(134019345, <shapely.geometry.point.Point object at 0x15d3bd908>)",6506.0
"(134281491, <shapely.geometry.point.Point object at 0x15d3bd940>)",6506.0
"(134019350, <shapely.geometry.point.Point object at 0x15d3bd898>)",6506.0
"(4737268013, <shapely.geometry.point.Point object at 0x15d3bd8d0>)",4900.0
"(134019373, <shapely.geometry.point.Point object at 0x15d3bd7f0>)",6506.0
"(134281519, <shapely.geometry.point.Point object at 0x15d3bd860>)",6301.0
"(134019390, <shapely.geometry.point.Point object at 0x15d3bd780>)",6506.0
"(7045922371, <shapely.geometry.point.Point object at 0x15d3bd7b8>)",6504.0
"(134019421, <shapely.geometry.point.Point object at 0x15d3bda20>)",6506.0
"(134019428, <shapely.geometry.point.Point object at 0x15d3bd748>)",6506.0
"(134019431, <shapely.geometry.point.Point object at 0x15d3bd668>)",6506.0
"(134019434, <shapely.geometry.point.Point object at 0x15d3bd6d8>)",6506.0
"(134019477, <shapely.geometry.point.Point object at 0x15d3bd5f8>)",7472.0
"(134019482, <shapely.geometry.point.Point object at 0x15d3bd630>)",7472.0
"(6573849005, <shapely.geometry.point.Point object at 0x15d3bd588>)",500.0
"(6573849031, <shapely.geometry.point.Point object at 0x15d3bd5c0>)",500.0
"(134019552, <shapely.geometry.point.Point object at 0x15d3bd4e0>)",6906.0
"(134019554, <shapely.geometry.point.Point object at 0x15d3bd550>)",6906.0
"(134019568, <shapely.geometry.point.Point object at 0x15d3bd470>)",6906.0
"(134019632, <shapely.geometry.point.Point object at 0x15d3bd4a8>)",6701.0
"(134019651, <shapely.geometry.point.Point object at 0x15d3bd710>)",7001.0
"(134281845, <shapely.geometry.point.Point object at 0x15d3bd438>)",6803.0
"(134019749, <shapely.geometry.point.Point object at 0x15d3bd358>)",7457.0
"(134019769, <shapely.geometry.point.Point object at 0x15d3bd3c8>)",7304.0
"(134019771, <shapely.geometry.point.Point object at 0x15d3bd2e8>)",7304.0
"(134019805, <shapely.geometry.point.Point object at 0x15d3bd320>)",7465.0
"(134281949, <shapely.geometry.point.Point object at 0x15d3bd278>)",7446.0
"(134019816, <shapely.geometry.point.Point object at 0x15d3bd2b0>)",7465.0
"(134281975, <shapely.geometry.point.Point object at 0x15d3bd1d0>)",7446.0
"(1978989327, <shapely.geometry.point.Point object at 0x15d3bd240>)",6000.0
"(1940803208, <shapely.geometry.point.Point object at 0x15d3bd160>)",7433.0
"(1978989351, <shapely.geometry.point.Point object at 0x15d3bd198>)",5901.0
"(134019938, <shapely.geometry.point.Point object at 0x15d3bd400>)",7315.0
"(1940803224, <shapely.geometry.point.Point object at 0x15d3bd128>)",7433.0
"(134019969, <shapely.geometry.point.Point object at 0x15d3bd048>)",7315.0
"(134282120, <shapely.geometry.point.Point object at 0x15d3bd0b8>)",7450.0
"(134020007, <shapely.geometry.point.Point object at 0x15d3bd0f0>)",7303.0
"(133970017, <shapely.geometry.point.Point object at 0x165ee6da0>)",1200.0
"(7256996792, <shapely.geometry.point.Point object at 0x165ee6cf8>)",2500.0
"(133970020, <shapely.geometry.point.Point object at 0x165ee6a90>)",1200.0
"(1937570757, <shapely.geometry.point.Point object at 0x165ee69e8>)",7438.0
"(1937570801, <shapely.geometry.point.Point object at 0x165ee6780>)",7472.0
"(134020084, <shapely.geometry.point.Point object at 0x165ee64e0>)",6102.0
"(134020088, <shapely.geometry.point.Point object at 0x165ee6358>)",6102.0
"(1862335590, <shapely.geometry.point.Point object at 0x165ee60b8>)",6805.0
"(1779760233, <shapely.geometry.point.Point object at 0x165ee6fd0>)",7304.0
"(134020204, <shapely.geometry.point.Point object at 0x165ee6f60>)",2500.0
"(1862335597, <shapely.geometry.point.Point object at 0x165ee6f98>)",6704.0
"(134020234, <shapely.geometry.point.Point object at 0x165ee6ef0>)",4500.0
"(134282380, <shapely.geometry.point.Point object at 0x165ee6f28>)",7002.0
"(134020258, <shapely.geometry.point.Point object at 0x165ee6e80>)",4400.0
"(1862335650, <shapely.geometry.point.Point object at 0x165ee6eb8>)",6704.0
"(134282407, <shapely.geometry.point.Point object at 0x165ee6e48>)",7002.0
"(134020264, <shapely.geometry.point.Point object at 0x165ee6d68>)",4400.0
"(134020266, <shapely.geometry.point.Point object at 0x165ee6dd8>)",4400.0
"(134020268, <shapely.geometry.point.Point object at 0x165ee6cc0>)",4400.0
"(134020271, <shapely.geometry.point.Point object at 0x165ee6d30>)",4400.0
"(134020274, <shapely.geometry.point.Point object at 0x165ee6c50>)",4400.0
"(134020279, <shapely.geometry.point.Point object at 0x165ee6c88>)",4400.0
"(134020283, <shapely.geometry.point.Point object at 0x165ee6be0>)",6701.0
"(1862335680, <shapely.geometry.point.Point object at 0x165ee6c18>)",6704.0
"(1862335699, <shapely.geometry.point.Point object at 0x165ee6b70>)",6704.0
"(1962212566, <shapely.geometry.point.Point object at 0x165ee6ba8>)",4700.0
"(134020332, <shapely.geometry.point.Point object at 0x165ee6e10>)",4500.0
"(134020335, <shapely.geometry.point.Point object at 0x165ee6b38>)",4500.0
"(134020354, <shapely.geometry.point.Point object at 0x165ee6a58>)",4400.0
"(134020357, <shapely.geometry.point.Point object at 0x165ee6ac8>)",4400.0
"(134020365, <shapely.geometry.point.Point object at 0x165ee69b0>)",4600.0
"(134020368, <shapely.geometry.point.Point object at 0x165ee6a20>)",4600.0
"(134020370, <shapely.geometry.point.Point object at 0x165ee6940>)",4600.0
"(134020372, <shapely.geometry.point.Point object at 0x165ee6978>)",4600.0
"(134020383, <shapely.geometry.point.Point object at 0x165ee68d0>)",4500.0
"(134020386, <shapely.geometry.point.Point object at 0x165ee6908>)",4500.0
"(134020395, <shapely.geometry.point.Point object at 0x165ee6860>)",3700.0
"(134020398, <shapely.geometry.point.Point object at 0x165ee6898>)",3700.0
"(134020400, <shapely.geometry.point.Point object at 0x165ee6b00>)",3700.0
"(134020411, <shapely.geometry.point.Point object at 0x165ee6828>)",7102.0
"(134020416, <shapely.geometry.point.Point object at 0x165ee6748>)",3500.0
"(134020422, <shapely.geometry.point.Point object at 0x165ee67b8>)",3500.0
"(134020427, <shapely.geometry.point.Point object at 0x165ee66a0>)",3500.0
"(134020430, <shapely.geometry.point.Point object at 0x165ee6710>)",3500.0
"(134020434, <shapely.geometry.point.Point object at 0x165ee6630>)",7002.0
"(134020443, <shapely.geometry.point.Point object at 0x165ee6668>)",3500.0
"(134020445, <shapely.geometry.point.Point object at 0x165ee65c0>)",3500.0
"(134020452, <shapely.geometry.point.Point object at 0x165ee65f8>)",3500.0
"(134282600, <shapely.geometry.point.Point object at 0x165ee6550>)",7408.0
"(134020467, <shapely.geometry.point.Point object at 0x165ee6588>)",3000.0
"(134282615, <shapely.geometry.point.Point object at 0x165ee64a8>)",7451.0
"(134020477, <shapely.geometry.point.Point object at 0x165ee6518>)",7102.0
"(134020487, <shapely.geometry.point.Point object at 0x165ee6438>)",7102.0
"(134020496, <shapely.geometry.point.Point object at 0x165ee6470>)",4400.0
"(134020513, <shapely.geometry.point.Point object at 0x165ee67f0>)",4400.0
"(134020544, <shapely.geometry.point.Point object at 0x165ee6400>)",3700.0
"(134020550, <shapely.geometry.point.Point object at 0x165ee6320>)",3700.0
"(4077714890, <shapely.geometry.point.Point object at 0x165ee6390>)",2500.0
"(4077714921, <shapely.geometry.point.Point object at 0x165ee6278>)",2500.0
"(134020617, <shapely.geometry.point.Point object at 0x165ee62e8>)",6803.0
"(134282783, <shapely.geometry.point.Point object at 0x165ee6208>)",7447.0
"(134020640, <shapely.geometry.point.Point object at 0x165ee6240>)",6803.0
"(134020653, <shapely.geometry.point.Point object at 0x165ee6198>)",6903.0
"(134282807, <shapely.geometry.point.Point object at 0x165ee61d0>)",2500.0
"(134020683, <shapely.geometry.point.Point object at 0x165ee6128>)",6903.0
"(134020690, <shapely.geometry.point.Point object at 0x165ee6160>)",6903.0
"(134020693, <shapely.geometry.point.Point object at 0x165ee6080>)",6903.0
"(134020700, <shapely.geometry.point.Point object at 0x165ee60f0>)",6903.0
"(134020706, <shapely.geometry.point.Point object at 0x165ee6048>)",6903.0
"(134020726, <shapely.geometry.point.Point object at 0x165ee63c8>)",6803.0
"(134282891, <shapely.geometry.point.Point object at 0x165ed7fd0>)",2300.0
"(134020752, <shapely.geometry.point.Point object at 0x165ed7f28>)",6803.0
"(134020772, <shapely.geometry.point.Point object at 0x165ed7cc0>)",7449.0
"(134282960, <shapely.geometry.point.Point object at 0x165ed7c18>)",4700.0
"(134021046, <shapely.geometry.point.Point object at 0x165ed79b0>)",7449.0
"(134021052, <shapely.geometry.point.Point object at 0x165ed7898>)",7449.0
"(134283274, <shapely.geometry.point.Point object at 0x165ed7630>)",7304.0
"(134283285, <shapely.geometry.point.Point object at 0x165ed7588>)",200.0
"(134283353, <shapely.geometry.point.Point object at 0x165ed7320>)",7310.0
"(134021216, <shapely.geometry.point.Point object at 0x165ed7278>)",7445.0
"(134021232, <shapely.geometry.point.Point object at 0x165ed7f98>)",7445.0
"(134021253, <shapely.geometry.point.Point object at 0x165ed7ef0>)",7445.0
"(134021262, <shapely.geometry.point.Point object at 0x165ed7f60>)",7445.0
"(134021271, <shapely.geometry.point.Point object at 0x165ed7e80>)",7445.0
"(134021278, <shapely.geometry.point.Point object at 0x165ed7eb8>)",7445.0
"(134021283, <shapely.geometry.point.Point object at 0x165ed7e10>)",7445.0
"(134283427, <shapely.geometry.point.Point object at 0x165ed7e48>)",7312.0
"(134021287, <shapely.geometry.point.Point object at 0x165ed7da0>)",7445.0
"(134021290, <shapely.geometry.point.Point object at 0x165ed7dd8>)",7445.0
"(134021296, <shapely.geometry.point.Point object at 0x165ed7d68>)",7445.0
"(134021301, <shapely.geometry.point.Point object at 0x165ed7c88>)",7445.0
"(134021306, <shapely.geometry.point.Point object at 0x165ed7cf8>)",7445.0
"(134021309, <shapely.geometry.point.Point object at 0x165ed7be0>)",7444.0
"(6986465479, <shapely.geometry.point.Point object at 0x165ed7c50>)",7409.0
"(134021314, <shapely.geometry.point.Point object at 0x165ed7b70>)",7445.0
"(6986465484, <shapely.geometry.point.Point object at 0x165ed7ba8>)",7409.0
"(134021331, <shapely.geometry.point.Point object at 0x165ed7b00>)",7440.0
"(134021340, <shapely.geometry.point.Point object at 0x165ed7b38>)",7440.0
"(134021343, <shapely.geometry.point.Point object at 0x165ed7a90>)",7433.0
"(1816985828, <shapely.geometry.point.Point object at 0x165ed7ac8>)",7449.0
"(1877016813, <shapely.geometry.point.Point object at 0x165ed7d30>)",7444.0
"(1877016814, <shapely.geometry.point.Point object at 0x165ed7a58>)",7443.0
"(1877016815, <shapely.geometry.point.Point object at 0x165ed7978>)",7443.0
"(1877016817, <shapely.geometry.point.Point object at 0x165ed79e8>)",7443.0
"(1877016818, <shapely.geometry.point.Point object at 0x165ed7908>)",7444.0
"(1877016821, <shapely.geometry.point.Point object at 0x165ed7940>)",7444.0
"(134021374, <shapely.geometry.point.Point object at 0x165ed7860>)",7433.0
"(134021377, <shapely.geometry.point.Point object at 0x165ed78d0>)",7433.0
"(134021380, <shapely.geometry.point.Point object at 0x165ed77b8>)",7433.0
"(134021383, <shapely.geometry.point.Point object at 0x165ed7828>)",7433.0
"(134021390, <shapely.geometry.point.Point object at 0x165ed7710>)",7434.0
"(134021396, <shapely.geometry.point.Point object at 0x165ed7748>)",7433.0
"(134021403, <shapely.geometry.point.Point object at 0x165ed7780>)",7433.0
"(134021411, <shapely.geometry.point.Point object at 0x165ed7a20>)",7434.0
"(134021432, <shapely.geometry.point.Point object at 0x165ed76d8>)",7311.0
"(134021438, <shapely.geometry.point.Point object at 0x165ed75f8>)",7310.0
"(1816985926, <shapely.geometry.point.Point object at 0x165ed7668>)",7449.0
"(134021452, <shapely.geometry.point.Point object at 0x165ed7550>)",7310.0
"(1816985940, <shapely.geometry.point.Point object at 0x165ed75c0>)",7449.0
"(134021467, <shapely.geometry.point.Point object at 0x165ed74e0>)",7311.0
"(1816985959, <shapely.geometry.point.Point object at 0x165ed7518>)",7449.0
"(134021481, <shapely.geometry.point.Point object at 0x165ed7470>)",7309.0
"(1816985963, <shapely.geometry.point.Point object at 0x165ed74a8>)",7449.0
"(1816985972, <shapely.geometry.point.Point object at 0x165ed7400>)",7449.0
"(1816985993, <shapely.geometry.point.Point object at 0x165ed7438>)",7449.0
"(134021526, <shapely.geometry.point.Point object at 0x165ed76a0>)",7311.0
"(134283750, <shapely.geometry.point.Point object at 0x165ed73c8>)",7439.0
"(134021629, <shapely.geometry.point.Point object at 0x165ed72e8>)",6703.0
"(134283784, <shapely.geometry.point.Point object at 0x165ed7358>)",7439.0
"(1986331166, <shapely.geometry.point.Point object at 0x165ed7240>)",2500.0
"(134283809, <shapely.geometry.point.Point object at 0x165ed72b0>)",7439.0
"(134021691, <shapely.geometry.point.Point object at 0x165ed71d0>)",6506.0
"(134021699, <shapely.geometry.point.Point object at 0x165ed7208>)",4700.0
"(134021707, <shapely.geometry.point.Point object at 0x165ed7160>)",4700.0
"(134021712, <shapely.geometry.point.Point object at 0x165ed7198>)",4700.0
"(134021727, <shapely.geometry.point.Point object at 0x165ed70f0>)",6400.0
"(134021729, <shapely.geometry.point.Point object at 0x165ed7128>)",6400.0
"(134021735, <shapely.geometry.point.Point object at 0x165ed7390>)",6400.0
"(134021738, <shapely.geometry.point.Point object at 0x165ed70b8>)",6400.0
"(134021746, <shapely.geometry.point.Point object at 0x165ed7048>)",6400.0
"(134021749, <shapely.geometry.point.Point object at 0x165ed7080>)",6400.0
"(134021752, <shapely.geometry.point.Point object at 0x165ec7da0>)",6400.0
"(134021755, <shapely.geometry.point.Point object at 0x165ec7cf8>)",6400.0
"(134021759, <shapely.geometry.point.Point object at 0x165ec7a90>)",6400.0
"(134021765, <shapely.geometry.point.Point object at 0x165ec79e8>)",6400.0
"(134021771, <shapely.geometry.point.Point object at 0x165ec7780>)",5600.0
"(134021774, <shapely.geometry.point.Point object at 0x165ec76d8>)",5600.0
"(134021777, <shapely.geometry.point.Point object at 0x165ec7470>)",5600.0
"(134021778, <shapely.geometry.point.Point object at 0x165ec7198>)",5600.0
"(134021787, <shapely.geometry.point.Point object at 0x165ec7fd0>)",5600.0
"(134021790, <shapely.geometry.point.Point object at 0x165ec7f60>)",5600.0
"(134021793, <shapely.geometry.point.Point object at 0x165ec7f98>)",5600.0
"(134021800, <shapely.geometry.point.Point object at 0x165ec7ef0>)",5600.0
"(134021805, <shapely.geometry.point.Point object at 0x165ec7f28>)",5600.0
"(134021807, <shapely.geometry.point.Point object at 0x165ec7e80>)",5600.0
"(134021808, <shapely.geometry.point.Point object at 0x165ec7eb8>)",5600.0
"(134283955, <shapely.geometry.point.Point object at 0x165ec7e48>)",7444.0
"(134021812, <shapely.geometry.point.Point object at 0x165ec7d68>)",5600.0
"(134284178, <shapely.geometry.point.Point object at 0x165ec7dd8>)",7440.0
"(134022037, <shapely.geometry.point.Point object at 0x165ec7cc0>)",6506.0
"(134022043, <shapely.geometry.point.Point object at 0x165ec7d30>)",6506.0
"(134022050, <shapely.geometry.point.Point object at 0x165ec7c50>)",6505.0
"(134284209, <shapely.geometry.point.Point object at 0x165ec7c88>)",7433.0
"(134022184, <shapely.geometry.point.Point object at 0x165ec7be0>)",1600.0
"(134022190, <shapely.geometry.point.Point object at 0x165ec7c18>)",1800.0
"(134022205, <shapely.geometry.point.Point object at 0x165ec7b70>)",2000.0
"(134022210, <shapely.geometry.point.Point object at 0x165ec7ba8>)",2000.0
"(134022212, <shapely.geometry.point.Point object at 0x165ec7e10>)",2000.0
"(134022217, <shapely.geometry.point.Point object at 0x165ec7b38>)",2000.0
"(134022223, <shapely.geometry.point.Point object at 0x165ec7a58>)",2000.0
"(134022226, <shapely.geometry.point.Point object at 0x165ec7ac8>)",2000.0
"(134022242, <shapely.geometry.point.Point object at 0x165ec79b0>)",2000.0
"(134022249, <shapely.geometry.point.Point object at 0x165ec7a20>)",2400.0
"(134022250, <shapely.geometry.point.Point object at 0x165ec7940>)",2400.0
"(134022254, <shapely.geometry.point.Point object at 0x165ec7978>)",2400.0
"(134284401, <shapely.geometry.point.Point object at 0x165ec78d0>)",7451.0
"(134022267, <shapely.geometry.point.Point object at 0x165ec7908>)",2400.0
"(134022278, <shapely.geometry.point.Point object at 0x165ec7860>)",2400.0
"(134284423, <shapely.geometry.point.Point object at 0x165ec7898>)",7464.0
"(134022291, <shapely.geometry.point.Point object at 0x165ec7b00>)",2600.0
"(134022294, <shapely.geometry.point.Point object at 0x165ec7828>)",2600.0
"(134022298, <shapely.geometry.point.Point object at 0x165ec7748>)",2600.0
"(134022304, <shapely.geometry.point.Point object at 0x165ec77b8>)",2800.0
"(134022306, <shapely.geometry.point.Point object at 0x165ec76a0>)",2800.0
"(134022309, <shapely.geometry.point.Point object at 0x165ec7710>)",2800.0
"(134022312, <shapely.geometry.point.Point object at 0x165ec7630>)",2800.0
"(134022336, <shapely.geometry.point.Point object at 0x165ec7668>)",2500.0
"(134022344, <shapely.geometry.point.Point object at 0x165ec75c0>)",2500.0
"(134022380, <shapely.geometry.point.Point object at 0x165ec75f8>)",2700.0
"(134022384, <shapely.geometry.point.Point object at 0x165ec7550>)",2700.0
"(134022401, <shapely.geometry.point.Point object at 0x165ec7588>)",2700.0
"(134022412, <shapely.geometry.point.Point object at 0x165ec77f0>)",2600.0
"(134022416, <shapely.geometry.point.Point object at 0x165ec7518>)",2700.0
"(134022418, <shapely.geometry.point.Point object at 0x165ec7438>)",2700.0
"(134022429, <shapely.geometry.point.Point object at 0x165ec74a8>)",2800.0
"(134022440, <shapely.geometry.point.Point object at 0x165ec7390>)",2800.0
"(134022454, <shapely.geometry.point.Point object at 0x165ec7400>)",2800.0
"(134022490, <shapely.geometry.point.Point object at 0x165ec72e8>)",6904.0
"(134022511, <shapely.geometry.point.Point object at 0x165ec7358>)",6904.0
"(134284690, <shapely.geometry.point.Point object at 0x165ec7278>)",7447.0
"(134022573, <shapely.geometry.point.Point object at 0x165ec72b0>)",6505.0
"(134284732, <shapely.geometry.point.Point object at 0x165ec7208>)",7447.0
"(134284765, <shapely.geometry.point.Point object at 0x165ec7240>)",7311.0
"(134022627, <shapely.geometry.point.Point object at 0x165ec7160>)",6505.0
"(134022652, <shapely.geometry.point.Point object at 0x165ec71d0>)",6505.0
"(134022693, <shapely.geometry.point.Point object at 0x165ec70f0>)",7424.0
"(134022702, <shapely.geometry.point.Point object at 0x165ec7128>)",6602.0
"(134022705, <shapely.geometry.point.Point object at 0x165ec74e0>)",6602.0
"(134022708, <shapely.geometry.point.Point object at 0x165ec70b8>)",6602.0
"(134022732, <shapely.geometry.point.Point object at 0x165ec7048>)",7436.0
"(134022764, <shapely.geometry.point.Point object at 0x165ec7080>)",7436.0
"(134022783, <shapely.geometry.point.Point object at 0x165ec3fd0>)",6602.0
"(134022785, <shapely.geometry.point.Point object at 0x165ec3cf8>)",6602.0
"(134022789, <shapely.geometry.point.Point object at 0x165ec3b70>)",6602.0
"(134022794, <shapely.geometry.point.Point object at 0x165ec3ac8>)",6602.0
"(134022802, <shapely.geometry.point.Point object at 0x165ec3860>)",7436.0
"(134022820, <shapely.geometry.point.Point object at 0x165ec37b8>)",7312.0
"(134022853, <shapely.geometry.point.Point object at 0x165ec3550>)",7436.0
"(134022869, <shapely.geometry.point.Point object at 0x165ec34a8>)",7436.0
"(134022891, <shapely.geometry.point.Point object at 0x165ec3240>)",7436.0
"(134022930, <shapely.geometry.point.Point object at 0x165ec3198>)",6701.0
"(134022932, <shapely.geometry.point.Point object at 0x165ec3f98>)",6701.0
"(134022942, <shapely.geometry.point.Point object at 0x165ec3ef0>)",7435.0
"(5109778212, <shapely.geometry.point.Point object at 0x165ec3f60>)",4300.0
